IMPRESA,INDIRIZZO,COMUNE,CATEGORIA,SOTTOCATEGORIA,POSIZIONE,CODICE,DENOMINAZIONE URBANISTICA GENERICA,DENOMINAZIONE UFFICIALE,LOCALITA’,NUMERO CIVICO,ESPONENTE,CODICE POSTALE,CODICE ASSEGNATO AI COMUNI DA ISTAT,COMUNITA’ DI VALLE,TELEFONO,E-MAIL,SITO INTERNET,LATITUDINE,LONGITUDINE,POSITION
ALIMENTARI WEGHER GIOVANNA,"PIAZZA SAN MAURIZIO, 4 - REVÒ/TREGIOVO",NOVELLA,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.43806,11.05374",198,PIAZZA,SAN MAURIZIO,REVÒ/TREGIOVO,4,,38028,022253,COMUNITA’ DELLA VAL DI NON,0463-530091,,,46.43806,11.05374,
BAR ZILLER,"VIA CARLO ANTONIO MARTINI, 19 - REVÒ",NOVELLA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.39105,11.05937",199,VIA,CARLO ANTONIO MARTINI,REVÒ,19,,38028,022253,COMUNITA’ DELLA VAL DI NON,0463-432797,,,46.39105,11.05937,
CALZATURIFICIO ROSSI LUIGI DI ROSSI DIEGO,"VIA CARLO ANTONIO MARTINI, 53 - REVÒ",NOVELLA,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.39171,11.06100",200,VIA,CARLO ANTONIO MARTINI,REVÒ,53,,38028,022253,COMUNITA’ DELLA VAL DI NON,0463-432209,,,46.39171,11.06100,
CASEIFICIO SOCIALE MONTE OZOLO,"VIA DEI MAURINI BASSI, 2 - REVÒ",NOVELLA,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.39251,11.05844",201,VIA,DEI MAURINI BASSI,REVÒ,2,,38028,022253,COMUNITA’ DELLA VAL DI NON,0463-432232,info@caseificiomonteozolo.it,www.caseificiomonteozolo.it,46.39251,11.05844,
FABBRO GENTILINI MAURIZIO,"VIA CARLO ANTONIO MARTINI, 45 - REVÒ",NOVELLA,SETTORE NON ALIMENTARE,ARTIGIANO,"46.39150,11.06054",204,VIA,CARLO ANTONIO MARTINI,REVÒ,45,,38028,022253,COMUNITA’ DELLA VAL DI NON,0463-432731,,,46.39150,11.06054,
FARMACIA SILVESTRI LUCIANA,"VIA JACOPO MAFFEI, 4 - REVÒ",NOVELLA,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.39062,11.06023",205,VIA,JACOPO MAFFEI,REVÒ,4,,38028,022253,COMUNITA’ DELLA VAL DI NON,0463-432131,,,46.39062,11.06023,
SALUMIFICIO ARTIGIANALE FLAIM,"VIA CARLO ANTONIO MARTINI, 7 - REVÒ",NOVELLA,SETTORE ALIMENTARE,ARTIGIANO,"46.39081,11.05898",207,VIA,CARLO ANTONIO MARTINI,REVÒ,7,,38028,022253,COMUNITA’ DELLA VAL DI NON,0463-432553,info@macelleriaflaim.shop,www.macelleriaflaim.shop,46.39081,11.05898,
BAR RISTORANTE HOTEL REVÒ,"VIA GIUSEPPE VERDI, 9 - REVÒ",NOVELLA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.39164,11.05809",208,VIA,GIUSEPPE VERDI,REVÒ,9,,38028,022253,COMUNITA’ DELLA VAL DI NON,0463-432149,info@hotelrevo.com,www.hotelrevo.com,46.39164,11.05809,
ARTICOLI SPORTIVI DI VARESCO MARIO & C. SNC,"VIA PRAI DE MONT, 10 - BELLAMONTE",PREDAZZO,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.31335,11.66123",209,VIA,PRAI DE MONT,BELLAMONTE,10,,38037,022147,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-576063 - 333 620 6040 - 338 920 3678,info@sportvaresco.it,www.articolisportivivaresco.it,46.31335,11.66123,
FOTO BONINSEGNA,"VIA TRENTO, 27",PREDAZZO,SETTORE NON ALIMENTARE,ARTIGIANO,"46.30954,11.60192",210,VIA,TRENTO,,27,,38037,022147,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-501105 - 349 616 4350,fotoboninsegna@gmail.com,www.maestroartigiano.tn.it/maestri/anna-boninsegna/,46.30954,11.60192,
CASALINGHI MORANDINI,"VIA TRENTO, 32",PREDAZZO,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.30958,11.60175",211,VIA,TRENTO,,32,,38037,022147,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-501460 - 353 406 2581,casalinghimorandini@gmail.com,www.casalinghimorandini.it,46.30958,11.60175,
CEMIN SPORT,"PIAZZA SANTI APOSTOLI, 5-C",PREDAZZO,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.31271,11.60262",212,PIAZZA,SANTI APOSTOLI,,5,C,38037,022147,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-502636,info@ceminsport.it,www.ceminsport.it,46.31271,11.60262,
EL MAMA FERRAMENTA,"VIA DELL'ARTIGIANATO, 6",PREDAZZO,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.30592,11.59452",213,VIA,DELL'ARTIGIANATO,,6,,38037,022147,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-501216,info@elmama.com - info@elmama.it,www.elmama.it,46.30592,11.59452,
SUPERMERCATO FAMIGLIA COOPERATIVA,"VIA CESARE BATTISTI, 21",PREDAZZO,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.31315,11.60080",214,VIA,CESARE BATTISTI,,21,,38037,022147,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-501111,info@fcvalfiemme.it,www.laspesainfamiglia.coop/Famiglie-Cooperative/Famiglia-Cooperativa-Val-di-Fiemme/FC-Val-di-Fiemme-Predazzo,46.31315,11.60080,
CALZATURE GARDENER,"VIA ROMA, 39",PREDAZZO,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.31111,11.60246",215,VIA,ROMA,,39,,38037,022147,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-502633,,,46.31111,11.60246,
MACELLERIA DELLANTONIO,"VIA CESARE BATTISTI, 2",PREDAZZO,SETTORE ALIMENTARE,ARTIGIANO,"46.31256,11.60199",217,VIA,CESARE BATTISTI,,2,,38037,022147,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-501231 – 340 224 0442,info@macelleriadellantonio.it,www.macelleriadellantonio.it,46.31256,11.60199,
OREFICERIA TONINI,"VIA CESARE BATTISTI, 15",PREDAZZO,SETTORE NON ALIMENTARE,ARTIGIANO,"46.31285,11.60129",218,VIA,CESARE BATTISTI,,15,,38037,022147,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-501205,,,46.31285,11.60129,
CALZATURE SEBER SANDRA,PIAZZA SANTI FILIPPO E GIACOMO,PREDAZZO,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.31279,11.60275",219,PIAZZA,SANTI FILIPPO E GIACOMO,,,,38037,022147,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-502424,,,46.31279,11.60275,
BAR RISTORANTE ALBERGO ANTICO,"VIA PRAI DE MONT, 19 - BELLAMONTE",PREDAZZO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.31323,11.66258",220,VIA,PRAI DE MONT,BELLAMONTE,19,,38037,022147,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-576122,info@albergoantico.it,https://www.albergoantico.co,46.31323,11.66258,
BAR RISTORANTE ALBERGO MONTANARA,"VIA INDIPENDENZA, 110",PREDAZZO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.31762,11.59812",221,VIA,INDIPENDENZA,,110,,38037,022147,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-501116,info@hotelmontanara.com,www.hotelmontanara.com,46.31762,11.59812,
BAR RISTORANTE ALBERGO ROSA,"VIA GIUSEPPE GARIBALDI, 30",PREDAZZO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.31167,11.60175",222,VIA,GIUSEPPE GARIBALDI,,30,,38037,022147,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-501239,info@activehotelrosat.it,www.activehotelrosat.it,46.31167,11.60175,
BAR RISTORANTE ALBERGO STELLA ALPINA,"VIA PRAI DE MONT, 9 - BELLAMONTE",PREDAZZO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.31350,11.66133",223,VIA,PRAI DE MONT,BELLAMONTE,9,,38037,022147,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-576114,info@hotelstellaalpinabellamonte.it,www.hotelstellaalpinabellamonte.it,46.31350,11.66133,
BAR RISTORANTE ALBERGO VINELLA,"VIA GIUSEPPE MAZZINI, 76",PREDAZZO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.31734,11.59742",224,VIA,GIUSEPPE MAZZINI,,76,,38037,022147,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-501151,,,46.31734,11.59742,
BAR RISTORANTE ALBERGO ANCORA,"VIA NOVE NOVEMBRE, 1",PREDAZZO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.31112,11.60297",225,VIA,NOVE NOVEMBRE,,1,,38037,022147,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-501651,info@ancora.it,www.ancora.it,46.31112,11.60297,
BAR RISTORANTE ALBERGO BELLARIA,"CORSO ALCIDE DE GASPERI, 20",PREDAZZO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.30977,11.59877",226,CORSO,ALCIDE DE GASPERI,,20,,38037,022147,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-501369,info@hotelbellaria.com,www.hotelbellaria.com,46.30977,11.59877,
BAR RISTORANTE ALBERGO TOURING,"VIA TRENTO, 5",PREDAZZO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.31038,11.60249",227,VIA,TRENTO,,5,,38037,022147,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-501212,info@touringpredazzo.com,www.touringpredazzo.com,46.31038,11.60249,
BAR CAORER,"VICOLO DEL CAORER, 11",PREDAZZO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.31083,11.60186",228,VICOLO,DEL CAORER,,11,,38037,022147,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-814679,,,46.31083,11.60186,
BAR EL PIRLE,"VIA DANTE ALIGHIERI, 32",PREDAZZO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.31350,11.60225",229,VIA,DANTE ALIGHIERI,,32,,38037,022147,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-502151,,,46.31350,11.60225,
CAFFÈ CROCE,PIAZZA SANTI FILIPPO E GIACOMO,PREDAZZO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.31274,11.60280",230,PIAZZA,SANTI FILIPPO E GIACOMO,,,,38037,022147,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,349 756 2871,,,46.31274,11.60280,
BAR RISTORANTE MIOLA,"LOCALITA' MIOLA, 1",PREDAZZO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.29798,11.60663",231,,,MIOLA,1,,38037,022147,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-936603 – 340 376 1958,info@ristorantemiola.com,www.ristorantemiola.com,46.29798,11.60663,
RISTORANTE BAR ALBERGO VILLA ROSA,"VIA SAN GIUSEPPE, 19",RONCEGNO TERME,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.05161,11.40974",233,VIA,SAN GIUSEPPE,,19,,38050,022156,COMUNITA' VALSUGANA E TESINO,0461-764489 – 338 856 0640 – 3318760030,albergovillarosaroncegno@gmail.com,www.villarosa5.wixsite.com/albergovillarosa,46.05161,11.40974,
RISTORANTE PALACE HOTEL,"PIAZZA DE GIOVANNI, 4",RONCEGNO TERME,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.05036,11.40968",234,PIAZZA,DE GIOVANNI,,4,,38050,022156,COMUNITA' VALSUGANA E TESINO,0461-772000,,www.casaraphael.com,46.05036,11.40968,
BAR RISTORANTE ALBERGO ALLA STAZIONE,"VIA NAZIONALE, 20 - MARTER",RONCEGNO TERME,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.03678,11.39823",235,VIA,NAZIONALE,MARTER,20,,38050,022156,COMUNITA' VALSUGANA E TESINO,347 922 9696,info@allastazione.net,www.allastazione.net,46.03678,11.39823,
FAMIGLIA COOPERATIVA LAGORAI,"PIAZZA MONTEBELLO, 9",RONCEGNO TERME,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.05272,11.41061",237,PIAZZA,MONTEBELLO,,9,,38050,022156,COMUNITA' VALSUGANA E TESINO,0461-764014,fc.lagorai@cooptrentina.it,www.laspesainfamiglia.coop/Famiglie-Cooperative/Famiglia-Cooperativa-Lagorai/FC-Lagorai-Roncegno,46.05272,11.41061,
MACELLERIA HOFFER FABRIZIO,"VIA BATTAGLIONE BASSEGGIO, 2",RONCEGNO TERME,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.05283,11.41003",238,VIA,BATTAGLIONE BASSEGGIO,,2,,38050,022156,COMUNITA' VALSUGANA E TESINO,0461-764009,,,46.05283,11.41003,
RISTORANTE ALBERGO GARNÌ VITTORIA,"VIA SAN GIUSEPPE, 1",RONCEGNO TERME,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.05126,11.40981",240,VIA,SAN GIUSEPPE,,1,,38050,022156,COMUNITA' VALSUGANA E TESINO,0461-773026,,,46.05126,11.40981,
CASALINGHI BERTAGNOLLI FERRAMENTA,"PIAZZA DANTE ALIGHIERI, 8-9",CAVALESE,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.29228,11.45863",241,PIAZZA,DANTE ALIGHIERI,,8,9,38033,022050,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-340293,info@ferramentabertagnolli.it,www.ferramentabertagnolli.it,46.29228,11.45863,
PASTICCERIA COSE BUONE DA PAOLO,"PIAZZA GIOVANNI ANTONIO SCOPOLI, 12",CAVALESE,SETTORE ALIMENTARE,ARTIGIANO,"46.29148,11.46012",242,PIAZZA,GIOVANNI ANTONIO SCOPOLI,,12,,38033,022050,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-340266,info@cosebuonedapaolo.it,www.cosebuonedapaolo.it,46.29148,11.46012,
TABARELLI GIORNALI TABACCHI SOUVENIR,"PIAZZA GIUSEPPE VERDI, 11",CAVALESE,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.29069,11.46045",243,PIAZZA,GIUSEPPE VERDI,,11,,38033,022050,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-340723,,,46.29069,11.46045,
CORNICI PLASTICOLOR SELLE,"VIA NOVE NOVEMBRE, 10",CAVALESE,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.29273,11.45730",245,VIA,NOVE NOVEMBRE,,10,,38033,022050,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-340165,,,46.29273,11.45730,
RISTORANTE HOTEL LA STUA,PIAZZA DANTE ALIGHIERI,CAVALESE,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.29246,11.45873",247,PIAZZA,DANTE ALIGHIERI,,,,38033,022050,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-340235,info@historichotellastua.it,www.historichotellastua.it/it/hotel-cavalese,46.29246,11.45873,
RISTORANTE VECCHIA FONTANA,"PIAZZA VENEZIA, 5",LEVICO TERME,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.01082,11.30175",248,PIAZZA,VENEZIA,,5,,38056,022104,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-706366,,www.ristorantevecchiafontana.it/,46.01082,11.30175,
BAR MASO AL VETRIOLO VECCHIO,"LOCALITA' VETRIOLO, 49",LEVICO TERME,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.04153,11.30988",249,,,VETRIOLO,49,,38056,022104,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-701564,,,46.04153,11.30988,
MACELLERIA DEL CENTRO,"VIA GIUSEPPE GARIBALDI, 3",LEVICO TERME,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.01140,11.30082",250,VIA,GIUSEPPE GARIBALDI,,3,,38056,022104,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-701857,,,46.01140,11.30082,
FARMACIA DE PREZ,"VIA DANTE ALIGHIERI, 31",LEVICO TERME,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.01211,11.29987",251,VIA,DANTE ALIGHIERI,,31,,38056,022104,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-706116,info@farmaciadeprezsas.it,www.farmaciadeprezsas.it,46.01211,11.29987,
BAR-ALBERGO NAZIONALE,"PIAZZA SONNINO, 1",LEVICO TERME,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.01196,11.30092",252,PIAZZA,SONNINO,,1,,38056,022104,COMUNITA' ALTA VALSUGANA E BERSNTOL,,,,46.01196,11.30092,
RISTORANTE-BAR-ALBERGO GARDEN,"VIALE VITTORIO EMANUELE, 22",LEVICO TERME,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.01490,11.29623",253,VIALE,VITTORIO EMANUELE,,22,,38056,022104,COMUNITA' ALTA VALSUGANA E BERSNTOL,,,,46.01490,11.29623,
FRIGO PRODOTTI TIPICI,"VIA REGIA, 4",LEVICO TERME,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.01128,11.30242",254,VIA,REGIA,,4,,38056,022104,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-701830,,,46.01128,11.30242,
ALIMENTARI CONCI SAMUELA,"PIAZZA VENEZIA, 13",LEVICO TERME,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.01052,11.30136",255,PIAZZA,VENEZIA,,13,,38056,022104,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-706346,,,46.01052,11.30136,
RISTORANTE-BAR-ALBERGO G.H. BELLAVISTA,"VIALE VITTORIO EMANUELE TERZO, 7",LEVICO TERME,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.01502,11.29589",256,VIALE,VITTORIO EMANUELE TERZO,,7,,38056,022104,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-706136,bookingoffice@bellavistarelax.it,https://www.bellavistarelax.it/,46.01502,11.29589,
MOBILI ARESE,"VIALE VENEZIA, 4-6",LEVICO TERME,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.00819,11.30587",257,VIALE,VENEZIA,,4,6,38056,022104,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-706750,info@mobiliarese.it,https://www.mobiliarese.it/,46.00819,11.30587,
ANTICA FARMACIA ROMANESE,"VIA REGIA, 16",LEVICO TERME,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.01151,11.30207",259,VIA,REGIA,,16,,38056,022104,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-706115,info@anticafarmaciaromanese.it,http://www.anticafarmaciaromanese.it/,46.01151,11.30207,
CASALINGHI-ELETTRODOMESTICI TADDEI GIULIANO,"VIA GIUSEPPE GARIBALDI, 66",LEVICO TERME,SETTORE NON ALIMENTARE,ARTIGIANO,"46.01242,11.29861",261,VIA,GIUSEPPE GARIBALDI,,66,,38056,022104,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-706301,,,46.01242,11.29861,
ORTOFRUTTA SCAPIN GIANNI,PIAZZA VENEZIA,LEVICO TERME,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.01076,11.30191",262,PIAZZA,VENEZIA,,,,38056,022104,COMUNITA' ALTA VALSUGANA E BERSNTOL,,,,46.01076,11.30191,
LANA MODA,"VIA REGIA, 19",LEVICO TERME,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.01145,11.30175",263,VIA,REGIA,,19,,38056,022104,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-706406 - 324 981 7219,info@lanamoda.it,https://www.lanamoda.it/it,46.01145,11.30175,
VIVISPORT S.N.C.,"VIA REGIA, 11",LEVICO TERME,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.01137,11.30195",264,VIA,REGIA,,11,,38056,022104,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-706262,,,46.01137,11.30195,
CONCESSIONARIA BASSETTI,"VIA CLAUDIA AUGUSTA, 27-A",LEVICO TERME,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.00448,11.28995",265,VIA,CLAUDIA AUGUSTA,,27,A,38056,022104,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-707273,info@biauto.eu,https://www.biauto.eu/,46.00448,11.28995,
BAR AL CONTE,"VIA REGIA, 8",LEVICO TERME,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.01145,11.30221",266,VIA,REGIA,,8,,38056,022104,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-702302,,,46.01145,11.30221,
RISTORANTE-BAR ANTICA ROSA,"VIA GIUSEPPE GARIBALDI, 15",LEVICO TERME,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.01129,11.30017",268,VIA,GIUSEPPE GARIBALDI,,15,,38056,022104,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-706154,,,46.01129,11.30017,
EDICOLA PASSERINI ALBERTO,"VIA GUGLIELMO MARCONI, 26",LEVICO TERME,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.01088,11.30283",269,VIA,GUGLIELMO MARCONI,,26,,38056,022104,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-700420,,,46.01088,11.30283,
BAR LINO,"VIA DANTE ALIGHIERI, 8",LEVICO TERME,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.01196,11.30048",270,VIA,DANTE ALIGHIERI,,8,,38056,022104,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-706418,,,46.01196,11.30048,
BAR SERENA,"VIA REGIA, 21",LEVICO TERME,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.01160,11.30180",271,VIA,REGIA,,21,,38056,022104,COMUNITA' ALTA VALSUGANA E BERSNTOL,,bar.artemisia@libero.it,,46.01160,11.30180,
RISTORANTE-BAR SANDRO,"VIA DOMENICO MONSIGNOR CAPRONI, 33",LEVICO TERME,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.01387,11.30204",272,VIA,DOMENICO MONSIGNOR CAPRONI,,33,,38056,022104,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-706164,,,46.01387,11.30204,
BAR - RISTORANTE ALBERGO AL BIVIO,"VIA NAZIONALE, 167",IMER,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.15068,11.79474",275,VIA,NAZIONALE,,167,,38050,022097,COMUNITA' DI PRIMIERO,0439-67080 - 328 662 6032,info@albiviohotel.it,https://www.albiviohotel.it/,46.15068,11.79474,
RISTORANTE ALBERGO AL LAGO,"LOCALITA' PONTET, 9",IMER,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.10689,11.77406",276,,,PONTET,9,,38050,022097,COMUNITA' DI PRIMIERO,335 824 2374,hotelsullago@virgilio.it,http://www.albergoallago.it/,46.10689,11.77406,
B. & B. LEGNO DI BETTEGA GRAZIANO & C. S.N.C.,"VIA CASABIANCA, 1",IMER,SETTORE NON ALIMENTARE,ARTIGIANO,"46.14752,11.80195",277,VIA,CASABIANCA,,1,,38050,022097,COMUNITA' DI PRIMIERO,0439-67601,,,46.14752,11.80195,
BAR OBBER,"VIA NAZIONALE, 62",IMER,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.15108,11.79577",278,VIA,NAZIONALE,,62,,38050,022097,COMUNITA' DI PRIMIERO,0439-67056,,,46.15108,11.79577,
DARIO SPORT DI BETTEGA ROBERTO & C. S.A.S.,"VIA NAZIONALE, 76",IMER,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.15094,11.79520",279,VIA,NAZIONALE,,76,,38050,022097,COMUNITA' DI PRIMIERO,0439-67232,robertonebettega@libero.it,,46.15094,11.79520,
FAMIGLIA COOPERATIVA IMER,"VIA NAZIONALE, 101",IMER,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.15081,11.79686",281,VIA,NAZIONALE,,101,,38050,022097,COMUNITA' DI PRIMIERO,0439-67093,fc.imer@cooptrentina.it,https://www.laspesainfamiglia.coop/Famiglie-Cooperative/Famiglia-Cooperativa-Imer,46.15081,11.79686,
FER TOYS SRL,"PIAZZA GIUSEPPE GARIBALDI, 8",RIVA DEL GARDA,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"45.88528,10.84215",284,PIAZZA,GIUSEPPE GARIBALDI,,8,,38066,022153,COMUNITA' ALTO GARDA E LEDRO,0464-552235,,,45.88528,10.84215,
OTTICA ARMANI,"VIA ANTONIO GAZZOLETTI, 23",RIVA DEL GARDA,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"45.88471,10.84022",285,VIA,ANTONIO GAZZOLETTI,,23,,38066,022153,COMUNITA' ALTO GARDA E LEDRO,0464-552587,,https://www.otticaarmani.it/it,45.88471,10.84022,
FARMACIA S. CHIARA,"VIA SANTA CROCE, 57",TRENTO,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.06377,11.12376",286,VIA,SANTA CROCE,,57,,38122,022205,TERRITORIO VAL D'ADIGE,0461-982457,,,46.06377,11.12376,
BIRRERIA PEDAVENA,"PIAZZA FIERA, 13",TRENTO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.06466,11.12343",287,PIAZZA,FIERA,,13,,38122,022205,TERRITORIO VAL D'ADIGE,0461-986255,info@birreriapedavena.com,http://www.birreriapedavena.com/home.html,46.06466,11.12343,
VIGILIO FRANZINELLI,"VICOLO DEL LICEO, 13",TRENTO,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.06669,11.12471",288,VICOLO,DEL LICEO,,13,,38122,022205,TERRITORIO VAL D'ADIGE,0464-839311,info@franzinelli.com,https://www.franzinelli.com/,46.06669,11.12471,
